Wavelength,AminoAcidSideChains,Flourescence,Flourescence_x10³
455,NN-SS 2mM-F01,129,0.129
460,NN-SS 2mM-F01,221,0.221
465,NN-SS 2mM-F01,348,0.348
470,NN-SS 2mM-F01,530,0.53
475,NN-SS 2mM-F01,728,0.728
480,NN-SS 2mM-F01,782,0.782
485,NN-SS 2mM-F01,789,0.789
490,NN-SS 2mM-F01,907,0.907
495,NN-SS 2mM-F01,840,0.84
500,NN-SS 2mM-F01,822,0.822
505,NN-SS 2mM-F01,750,0.75
510,NN-SS 2mM-F01,687,0.687
515,NN-SS 2mM-F01,598,0.598
520,NN-SS 2mM-F01,545,0.545
525,NN-SS 2mM-F01,499,0.499
530,NN-SS 2mM-F01,409,0.409
535,NN-SS 2mM-F01,385,0.385
540,NN-SS 2mM-F01,363,0.363
545,NN-SS 2mM-F01,255,0.255
550,NN-SS 2mM-F01,201,0.201
555,NN-SS 2mM-F01,239,0.239
560,NN-SS 2mM-F01,172,0.172
565,NN-SS 2mM-F01,152,0.152
570,NN-SS 2mM-F01,170,0.17
575,NN-SS 2mM-F01,130,0.13
580,NN-SS 2mM-F01,97,0.097
585,NN-SS 2mM-F01,79,0.079
590,NN-SS 2mM-F01,102,0.102
595,NN-SS 2mM-F01,76,0.076
600,NN-SS 2mM-F01,104,0.104
605,NN-SS 2mM-F01,70,0.07
610,NN-SS 2mM-F01,56,0.056
615,NN-SS 2mM-F01,37,0.037
620,NN-SS 2mM-F01,48,0.048
625,NN-SS 2mM-F01,31,0.031
630,NN-SS 2mM-F01,36,0.036
635,NN-SS 2mM-F01,29,0.029
640,NN-SS 2mM-F01,20,0.02
645,NN-SS 2mM-F01,28,0.028
650,NN-SS 2mM-F01,6,0.006
455,NN-SS 1.5mM-F02,124,0.124
460,NN-SS 1.5mM-F02,208,0.208
465,NN-SS 1.5mM-F02,345,0.345
470,NN-SS 1.5mM-F02,496,0.496
475,NN-SS 1.5mM-F02,595,0.595
480,NN-SS 1.5mM-F02,723,0.723
485,NN-SS 1.5mM-F02,822,0.822
490,NN-SS 1.5mM-F02,816,0.816
495,NN-SS 1.5mM-F02,777,0.777
500,NN-SS 1.5mM-F02,718,0.718
505,NN-SS 1.5mM-F02,739,0.739
510,NN-SS 1.5mM-F02,636,0.636
515,NN-SS 1.5mM-F02,584,0.584
520,NN-SS 1.5mM-F02,533,0.533
525,NN-SS 1.5mM-F02,470,0.47
530,NN-SS 1.5mM-F02,423,0.423
535,NN-SS 1.5mM-F02,391,0.391
540,NN-SS 1.5mM-F02,276,0.276
545,NN-SS 1.5mM-F02,284,0.284
550,NN-SS 1.5mM-F02,260,0.26
555,NN-SS 1.5mM-F02,211,0.211
560,NN-SS 1.5mM-F02,183,0.183
